Timestamp,StudentID,FirstName,LastName,Phone,Action,ResultingStatus
8/5/2568 19:23:36,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 19:23:50,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 19:27:43,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 19:27:55,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 19:35:37,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,
8/5/2568 19:36:07,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,
8/5/2568 19:44:24,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,
8/5/2568 19:44:42,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,
8/5/2568 19:52:01,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,
8/5/2568 20:09:03,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:09:50,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:10:02,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:10:59,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:15:51,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:17:53,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:23:06,001,AYUB,ABDULLOH,OPPO สีดำ,,checked-out
8/5/2568 20:23:16,001,AYUB,ABDULLOH,OPPO สีดำ,,checked-out
8/5/2568 20:23:32,001,AYUB,ABDULLOH,OPPO สีดำ,,checked-out
8/5/2568 20:31:04,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:31:16,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:31:29,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:33:06,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:33:13,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:33:17,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:33:24,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:33:30,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:33:51,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:44:43,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:44:47,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:44:51,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:44:55,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:45:01,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:45:04,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:45:08,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:45:12,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:45:24,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:45:29,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:45:33,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:45:37,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:46:04,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:46:09,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:46:16,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:46:23,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:46:31,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:46:38,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:46:44,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:46:51,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:47:38,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-in,checked-in
8/5/2568 20:47:45,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:48:20,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:48:24,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
8/5/2568 20:48:28,002,AYUB2,ABDULLOH2,OPPO สีดำ,check-out,checked-out
8/5/2568 20:48:32,001,AYUB,ABDULLOH,OPPO สีดำ,check-out,checked-out
8/5/2568 20:48:36,001,AYUB,ABDULLOH,OPPO สีดำ,check-in,checked-in
